orderID,quantity,MasterOrderID,FoodID
157,1,71,PZ002,90
158,2,71,SD010,14
159,1,71,DR011,10
160,1,72,BG007,12
161,2,72,SD010,14
162,1,73,BG003,24
163,3,73,BG011,30
164,1,73,SD002,12
165,1,74,PZ003,100
166,1,74,PZ010,90
167,3,74,BG001,30
168,1,75,SD011,12
169,2,76,BG009,18
170,2,76,CK004,25
171,1,77,DR010,15
172,1,77,CK004,25
173,1,77,PZ006,60
174,1,78,PZ010,90
175,2,78,CK007,30
176,1,78,DS004,24
177,3,79,CK008,60
178,1,80,DS003,18
179,2,80,SD007,16
180,1,81,DS005,15
181,1,82,DR004,10
182,1,83,CK009,50
183,1,84,DR002,10
184,2,84,DS005,15
185,2,84,PZ005,80
186,1,85,DS007,15
187,3,85,BG004,22
188,1,85,DR010,15
189,3,86,PZ002,90
190,3,86,SD006,18
191,3,87,BG001,30
192,2,87,BG003,24
193,1,87,BG001,30
194,1,88,DS001,18
195,1,88,BG009,18
196,2,88,BG008,12
197,1,89,CK004,25
198,1,90,BG011,30
199,2,90,DS008,10
200,1,90,PZ005,80
201,1,91,CK006,22
202,2,92,PZ009,90
203,1,92,CK008,60
204,1,93,DS001,18
205,1,94,DS010,15
206,3,94,BG002,20
207,1,95,PZ007,70
208,1,95,PZ002,90
209,1,96,DS002,18
210,2,96,CK009,50
211,1,97,DS007,15
212,1,97,CK006,22
213,3,97,DS003,18
214,1,98,PZ007,70
215,1,98,CK003,40
216,1,98,DS004,24
217,2,99,DR006,13
218,1,99,DR003,10
219,1,100,SD011,12
220,1,100,PZ008,90
221,1,101,CK005,25
222,1,102,PZ002,90
223,3,102,SD008,20
224,1,102,PZ004,100
225,2,103,DR010,15
226,1,103,SD009,18
227,1,103,PZ010,90
228,2,104,DR011,10
229,2,105,DR007,13
230,1,105,BG001,30
231,3,105,CK008,60
232,1,106,PZ003,100
233,1,106,DS007,15
234,2,107,PZ001,90
235,2,108,DR007,13
236,1,108,PZ004,100
237,1,108,CK005,25
238,1,109,CK004,25
239,2,110,SD003,10
240,3,111,DR004,10
241,1,111,BG010,15
242,1,112,PZ006,60
243,1,112,DS009,10
244,1,112,SD010,14
245,3,113,SD005,10
246,1,114,DS002,18
247,1,115,PZ006,60
248,1,115,DS008,10
249,2,116,DR005,12
250,3,116,BG007,12
251,1,117,BG003,24
252,1,117,DS003,18
253,1,117,DS010,15
254,1,118,CK005,25
255,1,118,SD002,12
256,1,118,CK005,25
257,1,119,PZ006,60
258,1,119,PZ006,60
259,1,120,CK003,40
260,1,120,CK009,50
261,1,121,DR002,10
262,3,122,DR011,10
263,2,122,SD010,14
264,1,123,BG008,12
265,3,123,BG002,20
266,1,123,DS005,15
267,1,124,CK005,25
268,1,125,CK002,30
269,1,126,DR003,10
270,1,126,BG002,20
271,1,126,BG005,12
272,1,127,PZ005,80
273,2,127,DR007,13
274,1,127,BG007,12
275,1,128,DR006,13
276,1,128,PZ009,90
277,1,128,DS004,24
278,2,129,DS008,10
279,1,130,CK003,40
280,1,131,SD001,10
281,1,132,BG006,12
282,1,133,CK003,40
283,1,133,DS002,18
284,3,133,SD004,15
285,3,134,DR010,15
286,1,135,DR009,15
287,1,135,BG010,15
288,1,136,DR011,10
289,1,136,BG011,30
290,2,136,DS006,15
291,1,137,DR002,10
292,3,137,SD006,18
293,1,138,DR004,10
294,1,139,PZ009,90
295,3,140,CK001,30
296,1,140,CK002,30
297,1,141,DS010,15
298,1,142,CK003,40
299,1,142,BG006,12
300,2,142,BG005,12
301,1,143,DR006,13
302,1,144,BG009,18
303,2,144,BG011,30
304,2,144,SD003,10
305,1,145,CK003,40
306,1,146,CK004,25
307,1,146,SD010,14
308,1,146,CK007,30
309,1,147,SD011,12
310,1,147,DS007,15
311,1,147,CK006,22
312,1,148,CK002,30
313,1,148,BG002,20
314,1,148,DS004,24
315,1,149,CK002,30
316,2,150,CK002,30
317,2,150,DS002,18
318,1,151,DS010,15
319,2,151,DR006,13
320,1,152,PZ006,60
321,2,153,SD009,18
322,1,153,SD001,10
323,3,153,BG009,18
324,3,154,BG009,18
325,1,155,BG009,18
326,1,155,SD002,12
327,1,156,SD009,18
328,1,156,BG009,18
329,1,156,BG009,18
330,1,157,BG007,12
331,1,157,BG011,30
332,3,158,CK001,30
333,1,159,PZ006,60
334,3,160,BG011,30
335,3,160,DR010,15
336,2,161,DS007,15
337,3,161,DS007,15
338,2,162,CK003,40
339,2,162,DR006,13
340,1,163,CK005,25
341,1,163,SD004,15
342,2,164,BG008,12
343,1,165,SD006,18
344,1,165,DS007,15
345,1,166,DR004,10
346,1,166,DS007,15
347,1,166,DS002,18
348,1,167,SD003,10
349,1,167,DR002,10
350,1,168,DR010,15
351,1,169,BG002,20
352,2,169,SD011,12
353,1,169,PZ004,100
354,1,170,BG007,12
355,1,170,PZ007,70
356,1,170,DS003,18
357,3,171,DS001,18
358,2,172,DR009,15
359,3,173,BG004,22
360,1,173,BG009,18
361,1,174,SD001,10
362,1,175,PZ010,90
363,2,175,DR004,10
364,1,176,DR005,12
365,1,176,DR005,12
366,1,176,BG009,18
367,1,177,DS006,15
368,1,178,PZ003,100
369,1,178,DS003,18
370,1,179,CK009,50
371,1,179,SD008,20
372,1,180,PZ007,70
373,1,180,DS010,15
374,1,181,CK008,60
375,2,181,DS008,10
376,1,182,SD011,12
377,1,182,SD006,18
378,3,183,BG004,22
379,2,184,BG002,20
380,3,185,DS005,15
381,1,185,SD009,18
382,1,185,PZ007,70
383,1,186,PZ001,90
384,3,186,CK009,50
385,1,186,DS002,18
386,1,187,DS008,10
387,1,188,PZ008,90
388,1,188,BG011,30
389,1,188,PZ007,70
390,1,189,SD011,12
391,1,189,PZ007,70
392,1,190,PZ005,80
393,3,191,DR008,13
394,1,192,BG001,30
395,1,192,DS009,10
396,1,193,BG005,12
397,1,193,DR008,13
398,2,194,BG011,30
399,2,194,SD007,16
400,2,194,SD001,10
401,1,195,PZ002,90
402,3,195,PZ001,90
403,1,196,DR009,15
404,2,197,BG002,20
405,1,197,DS009,10
406,1,197,DS001,18
407,2,198,DR005,12
408,2,198,SD009,18
409,1,199,SD006,18
410,2,199,PZ007,70
411,1,199,SD010,14
412,3,200,SD009,18
413,2,201,DS008,10
414,1,202,DR004,10
415,3,202,PZ002,90
416,1,203,CK004,25
417,1,203,DR002,10
418,1,203,DR002,10
419,3,204,DR003,10
420,2,204,SD005,10
421,1,205,DR005,12
422,1,205,DR002,10
423,3,206,SD008,20
424,1,206,CK006,22
425,1,207,DS009,10
426,1,208,PZ007,70
427,1,208,SD009,18
428,1,208,DR005,12
429,3,209,SD009,18
430,2,209,BG008,12
431,1,209,SD005,10
432,1,210,DS009,10
433,1,210,BG009,18
434,3,211,PZ005,80
435,1,211,DR007,13
436,2,212,SD008,20
437,3,213,BG003,24
438,3,213,BG003,24
439,1,214,SD001,10
440,1,214,DR005,12
441,1,215,BG003,24
442,2,215,DS010,15
443,3,215,CK009,50
444,1,216,CK007,30
445,3,216,DR010,15
446,2,216,PZ002,90
447,1,217,DR006,13
448,1,218,DR006,13
449,1,219,DR001,10
450,1,219,DS006,15
451,1,219,DR002,10
452,1,220,PZ003,100
453,3,220,DS002,18
454,3,221,DR010,15
455,1,221,SD007,16
456,2,221,DS010,15
457,1,222,PZ004,100
458,1,222,DR010,15
459,1,222,CK007,30
460,1,223,SD003,10
461,1,223,SD002,12
462,1,224,BG008,12
463,1,225,SD001,10
464,1,226,CK001,30
465,1,227,BG003,24
466,1,228,BG007,12
467,1,228,BG009,18
468,1,228,CK007,30
469,2,229,SD001,10
470,1,229,CK004,25
471,1,229,PZ003,100
472,1,230,DS008,10
473,1,230,BG011,30
474,1,231,PZ008,90
475,1,231,DR001,10
476,1,231,PZ005,80
477,1,232,SD009,18
478,1,232,DR004,10
479,3,232,CK007,30
480,1,233,DS003,18
481,3,233,DS006,15
482,1,234,DR006,13
483,1,234,DS003,18
484,3,235,PZ001,90
485,1,235,SD005,10
486,1,235,PZ004,100
487,1,236,DR003,10
488,1,236,DR007,13
489,3,236,CK007,30
490,3,237,CK009,50
491,3,237,BG002,20
492,1,238,DS005,15
493,3,238,CK006,22
494,3,239,CK009,50
495,1,239,CK003,40
496,1,239,DR004,10
497,1,240,BG005,12
498,3,241,DS004,24
499,2,242,CK005,25
500,1,242,BG004,22
501,1,242,DS008,10
502,1,243,SD007,16
503,3,244,CK008,60
504,1,244,SD007,16
505,1,244,SD008,20
506,1,245,DR004,10
507,1,245,BG002,20
508,1,245,PZ002,90
509,1,246,DR004,10
510,1,246,SD010,14
511,2,247,SD006,18
512,2,247,DR007,13
513,1,247,DS007,15
514,3,248,DR001,10
515,1,248,SD006,18
516,3,248,DR003,10
517,2,249,PZ010,90
518,1,249,BG009,18
519,1,249,DS009,10
520,1,250,CK004,25
521,1,251,PZ008,90
522,2,251,PZ008,90
523,1,251,DS002,18
524,1,252,PZ004,100
525,1,252,BG009,18
526,2,252,PZ004,100
527,1,253,CK005,25
528,3,254,DR006,13
529,3,254,CK008,60
530,1,254,CK009,50
531,1,255,BG005,12
532,3,256,BG008,12
533,1,256,SD007,16
534,1,257,SD008,20
535,2,257,PZ002,90
536,1,257,PZ002,90
537,2,258,BG002,20
538,1,258,DR005,12
539,1,259,CK005,25
540,1,260,DR011,10
541,1,260,CK003,40
542,1,261,BG006,12
543,3,261,DS009,10
544,1,261,DR007,13
545,1,262,DR003,10
546,3,262,PZ007,70
547,1,262,SD004,15
548,2,263,BG005,12
549,1,264,BG010,15
550,1,264,BG003,24
551,1,265,DS001,18
552,1,265,PZ004,100
553,3,265,BG004,22
554,1,266,DR001,10
555,1,266,DR002,10
556,3,266,DS007,15
557,1,267,DR007,13
558,1,267,CK008,60
559,1,268,PZ001,90
560,1,268,SD011,12
561,1,268,DR008,13
562,1,269,CK006,22
563,1,270,CK002,30
564,1,270,DS003,18
565,2,270,PZ003,100
566,1,271,DS001,18
567,1,271,DS001,18
568,2,271,SD010,14
569,1,272,DR002,10
570,1,272,BG011,30
571,1,273,DS007,15
572,1,273,CK006,22
573,1,273,SD010,14
574,1,274,SD001,10
575,2,275,DR003,10
576,1,275,PZ003,100
577,1,275,DS001,18
578,1,276,DR011,10
579,1,277,CK003,40
580,1,277,SD007,16
581,1,278,SD006,18
582,2,279,DR009,15
583,1,280,SD009,18
584,1,281,PZ007,70
585,1,282,SD003,10
586,1,282,SD006,18
587,1,283,PZ007,70
588,1,283,DR010,15
589,1,283,DS003,18
590,1,284,DR009,15
591,1,285,PZ009,90
592,1,286,CK004,25
593,2,287,PZ005,80
594,1,287,DR009,15
595,1,287,DS006,15
596,3,288,CK006,22
597,1,288,PZ009,90
598,2,289,PZ010,90
599,3,289,PZ008,90
600,3,290,DR008,13
601,1,290,BG003,24
602,1,291,DR007,13
603,3,291,BG006,12
604,1,292,CK009,50
605,1,292,SD003,10
606,1,293,SD007,16
607,1,293,SD011,12
608,1,293,DR004,10
609,1,294,PZ002,90
610,1,294,BG011,30
611,1,294,DR001,10
612,3,295,BG002,20
613,1,296,DS005,15
614,2,296,SD001,10
615,2,296,BG004,22
616,1,297,DS010,15
617,1,297,DS006,15
618,1,298,DS001,18
619,3,299,DS008,10
620,1,299,CK005,25
621,1,299,SD010,14
622,1,300,DS006,15
623,1,300,DR006,13
624,3,300,SD004,15
625,1,301,DR004,10
626,1,301,DR003,10
627,1,302,BG006,12
628,2,303,PZ002,90
629,3,303,SD010,14
630,1,303,CK005,25
631,1,304,DR010,15
632,1,305,SD003,10
633,1,306,SD007,16
634,2,306,BG008,12
635,1,306,PZ004,100
636,1,307,CK006,22
637,1,307,BG010,15
638,1,307,BG011,30
639,3,308,PZ005,80
640,1,308,DR003,10
641,1,309,BG001,30
642,1,310,CK001,30
643,1,311,PZ003,100
644,1,312,BG001,30
645,1,312,PZ009,90
646,1,313,PZ009,90
647,2,313,DS005,15
648,3,314,SD010,14
649,1,315,CK002,30
650,3,316,SD009,18
651,1,316,BG002,20
652,1,316,BG004,22
653,1,317,CK001,30
654,1,317,CK009,50
655,1,317,PZ006,60
656,1,318,PZ010,90
657,2,318,PZ001,90
658,1,319,PZ009,90
659,1,319,BG009,18
660,1,320,DR008,13
661,1,320,BG011,30
662,3,321,BG008,12
663,3,321,SD003,10
664,1,321,SD010,14
665,1,322,CK005,25
666,3,322,BG003,24
667,1,323,SD003,10
668,1,323,PZ006,60
669,2,324,BG005,12
670,1,324,DS006,15
671,3,324,DR009,15
672,1,325,BG011,30
673,1,325,DR004,10
674,1,326,CK003,40
675,1,326,DR005,12
676,1,326,SD003,10
677,1,327,PZ007,70
678,3,327,PZ006,60
679,1,328,DR004,10
680,1,328,DR001,10
681,1,329,CK007,30
682,1,329,PZ003,100
683,1,329,CK007,30
684,1,330,DR010,15
685,2,330,DR005,12
686,1,331,BG008,12
687,1,331,PZ004,100
688,1,331,CK006,22
689,1,332,PZ008,90
690,1,332,CK006,22
691,1,332,DS002,18
692,1,333,DS006,15
693,1,334,DR007,13
694,1,335,DS006,15
695,3,336,SD010,14
696,1,336,PZ010,90
697,1,336,SD006,18
698,2,337,CK009,50
699,1,338,DS007,15
700,1,338,DR010,15
701,1,338,DR006,13
702,1,339,CK003,40
703,1,340,SD002,12
704,1,340,SD004,15
705,2,340,DS005,15
706,1,341,DR011,10
707,3,342,PZ009,90
708,3,342,CK001,30
709,1,343,BG004,22
710,1,344,CK005,25
711,1,345,PZ008,90
712,1,345,BG006,12
713,3,346,CK007,30
714,1,347,PZ005,80
715,1,348,DR004,10
716,1,348,CK007,30
717,1,348,DR007,13
718,1,349,DS010,15
719,1,349,SD002,12
720,1,349,DR004,10
721,1,350,DR009,15
722,1,350,BG005,12
723,1,350,PZ001,90
724,2,351,BG011,30
725,1,351,DS008,10
726,1,351,DR003,10
727,1,352,DR001,10
728,1,352,BG002,20
729,1,352,DR004,10
730,1,353,PZ007,70
731,2,353,CK006,22
732,2,353,DR005,12
733,1,354,SD010,14
734,2,354,SD011,12
735,2,354,CK002,30
736,1,355,CK004,25
737,1,356,SD007,16
738,2,356,PZ005,80
739,2,356,PZ001,90
740,1,357,SD004,15
741,1,358,PZ009,90
742,1,359,PZ005,80
743,2,359,BG008,12
744,1,359,CK004,25
745,3,360,BG002,20
746,1,361,DS008,10
747,1,362,CK003,40
748,1,363,CK001,30
749,1,363,SD007,16
750,1,364,DS008,10
751,1,365,BG010,15
752,2,366,CK001,30
753,1,367,PZ002,90
754,1,367,SD002,12
755,2,367,DS006,15
756,2,368,PZ007,70
757,3,368,SD003,10
758,1,368,SD007,16
759,2,369,DS005,15
760,1,369,DR002,10
761,3,370,SD006,18
762,1,370,SD009,18
763,1,370,SD002,12
764,1,371,BG008,12
765,2,371,DS006,15
766,1,372,PZ009,90
767,1,373,BG004,22
768,2,373,PZ003,100
769,3,374,DR003,10
770,3,374,PZ001,90
771,1,375,SD009,18
772,1,376,PZ008,90
773,1,376,CK007,30
774,1,377,BG011,30
775,1,377,SD010,14
776,2,377,DR003,10
777,2,378,BG003,24
778,1,379,SD002,12
779,1,379,SD008,20
780,3,380,DS007,15
781,1,380,SD010,14
782,1,380,BG007,12
783,1,381,PZ010,90
784,1,381,DR003,10
785,1,381,DR005,12
786,3,382,CK005,25
787,1,382,DS010,15
788,1,382,BG006,12
789,3,383,DR009,15
790,1,383,DR005,12
791,2,383,BG007,12
792,1,384,BG004,22
793,1,384,DR002,10
794,1,384,BG003,24
795,1,385,CK007,30
796,1,385,PZ003,100
797,1,385,BG009,18
798,2,386,PZ004,100
799,3,386,BG011,30
800,1,387,DS005,15
801,1,387,DS008,10
802,1,388,SD007,16
803,1,389,SD002,12
804,2,389,CK005,25
805,1,390,BG001,30
806,1,390,DS010,15
807,1,390,CK005,25
808,1,391,SD001,10
809,1,391,DS008,10
810,1,391,SD011,12
811,2,392,BG002,20
812,1,393,BG009,18
813,1,393,SD008,20
814,1,393,BG002,20
815,1,394,SD006,18
816,1,394,BG001,30
817,1,395,SD002,12
818,1,395,BG001,30
819,1,396,BG006,12
820,3,396,CK001,30
821,1,397,SD006,18
822,1,397,SD007,16
823,1,398,PZ006,60
824,1,398,BG011,30
825,3,398,PZ002,90
826,1,399,DS001,18
827,1,399,DR007,13
828,1,399,SD006,18
829,1,400,CK001,30
830,1,401,DR004,10
831,1,401,DS003,18
832,1,401,DS003,18
833,1,402,SD005,10
834,1,403,PZ007,70
835,1,403,DR006,13
836,3,404,DS003,18
837,2,405,SD009,18
838,1,405,PZ001,90
839,2,406,SD010,14
840,1,406,DR009,15
841,2,406,BG010,15
842,1,407,DS006,15
843,1,407,PZ001,90
844,1,407,CK002,30
845,1,408,BG002,20
846,2,409,DS005,15
847,1,410,BG008,12
848,2,410,DR003,10
849,1,411,BG004,22
850,2,411,DR005,12
851,2,411,BG007,12
852,2,412,CK001,30
853,1,412,DR009,15
854,3,413,DS001,18
855,1,413,BG009,18
856,2,413,DR010,15
857,1,414,SD001,10
858,1,414,SD004,15
859,1,415,SD011,12
860,1,415,SD006,18
861,3,415,CK008,60
862,1,416,DS008,10
863,1,416,BG003,24
864,2,417,DR002,10
865,2,418,CK007,30
866,1,418,CK001,30
867,3,419,CK004,25
868,1,419,SD008,20
869,1,419,CK002,30
870,3,420,BG010,15
871,1,421,BG002,20
872,1,422,BG010,15
873,1,422,CK001,30
874,2,423,SD005,10
875,1,423,DS005,15
876,1,424,BG010,15
877,1,424,PZ004,100
878,1,425,CK005,25
879,1,425,PZ001,90
880,1,425,CK005,25
881,1,426,BG005,12
882,1,426,CK009,50
883,1,427,SD008,20
884,1,427,PZ003,100
885,1,427,DS008,10
886,2,428,BG005,12
887,1,429,CK009,50
888,2,429,DR004,10
889,1,429,PZ005,80
890,1,430,BG006,12
891,1,430,DR006,13
892,1,431,BG005,12
893,1,431,PZ006,60
894,3,432,DR005,12
895,1,433,CK005,25
896,1,433,CK009,50
897,1,434,PZ004,100
898,3,434,PZ004,100
899,2,435,PZ003,100
900,3,435,CK009,50
901,1,436,DS004,24
902,2,437,SD001,10
903,3,438,BG005,12
904,1,438,SD007,16
905,1,438,CK008,60
906,3,439,BG002,20
907,1,439,CK005,25
908,1,439,DS010,15
909,3,440,BG009,18
910,1,440,SD009,18
911,1,440,DS006,15
912,3,441,DS001,18
913,1,441,DR004,10
914,1,441,SD011,12
915,1,442,SD005,10
916,1,442,BG005,12
917,1,443,DS003,18
918,2,443,SD007,16
919,1,443,DS001,18
920,2,444,DR005,12
921,3,444,DR010,15
922,1,444,SD003,10
923,1,445,BG005,12
924,1,446,DS010,15
925,1,446,CK008,60
926,1,446,CK006,22
927,1,447,SD008,20
928,1,448,PZ005,80
929,1,448,BG003,24
930,1,449,DS007,15
931,1,450,BG009,18
932,1,451,SD008,20
933,2,452,BG001,30
934,1,452,DR002,10
935,1,453,PZ008,90
936,1,453,PZ005,80
937,1,454,SD011,12
938,3,454,DS008,10
939,1,454,DR009,15
940,1,455,BG008,12
941,1,456,CK008,60
942,2,456,SD008,20
943,1,456,DS002,18
944,2,457,SD007,16
945,1,458,PZ010,90
946,2,459,DR001,10
947,1,459,BG008,12
948,1,460,DR009,15
949,1,461,PZ007,70
950,1,462,CK008,60
951,1,462,SD011,12
952,1,462,CK006,22
953,1,463,DR002,10
954,1,463,BG006,12
955,3,463,DR011,10
956,1,464,PZ008,90
957,2,464,DS002,18
958,1,464,DR003,10
959,1,465,DR004,10
960,3,465,SD003,10
961,1,466,DS001,18
962,1,467,DS005,15
963,1,468,DR007,13
964,1,468,BG010,15
965,1,469,DS005,15
966,1,469,BG009,18
967,3,469,DS005,15
968,1,470,SD010,14
969,1,470,DS003,18
970,1,470,DR008,13
971,1,471,SD010,14
972,1,471,DS004,24
973,2,471,BG010,15
974,2,472,BG004,22
975,1,472,SD007,16
976,1,473,CK006,22
977,2,473,CK002,30
978,1,473,CK001,30
979,1,474,DR002,10
980,3,474,BG010,15
981,2,475,PZ009,90
982,1,476,SD010,14
983,2,476,BG007,12
984,1,477,DR002,10
985,2,478,PZ007,70
986,1,478,SD006,18
987,1,479,DR002,10
988,1,479,PZ010,90
989,2,479,PZ001,90
990,2,480,BG001,30
991,1,481,DR003,10
992,1,481,PZ008,90
993,3,481,PZ001,90
994,1,482,DR011,10
995,1,482,SD002,12
996,1,482,DS006,15
997,3,483,SD004,15
998,1,484,SD008,20
999,1,484,DR010,15
1000,1,485,CK007,30
1001,2,485,PZ003,100
1002,3,485,DS008,10
1003,1,486,SD011,12
1004,1,487,CK008,60
1005,1,488,SD008,20
1006,1,488,DS007,15
1007,1,488,SD002,12
1008,1,489,DS010,15
1009,3,490,BG007,12
1010,1,490,SD010,14
1011,1,490,DS001,18
1012,1,491,SD008,20
1013,3,491,CK003,40
1014,1,491,BG010,15
1015,1,492,DS008,10
1016,1,492,DS006,15
1017,1,493,CK007,30
1018,1,493,PZ010,90
1019,3,494,PZ009,90
1020,2,494,SD003,10
1021,1,494,SD002,12
1022,2,495,SD010,14
1023,1,495,CK008,60
1024,3,496,DS004,24
1025,1,497,CK003,40
1026,2,498,PZ003,100
1027,1,499,CK008,60
1028,3,499,SD007,16
1029,1,499,SD008,20
1030,3,500,DS009,10
1031,1,500,PZ001,90
1032,1,500,DR004,10
1033,1,501,DR004,10
1034,1,502,SD010,14
1035,2,502,DS009,10
1036,1,503,PZ004,100
1037,2,503,DR010,15
1038,1,503,CK009,50
1039,1,504,DR006,13
1040,1,504,PZ001,90
1041,1,505,BG010,15
1042,1,505,PZ006,60
1043,1,506,SD011,12
1044,1,507,SD010,14
1045,1,508,DS003,18
1046,3,508,SD011,12
1047,1,508,DS002,18
1048,1,509,BG005,12
1049,2,510,DR010,15
1050,1,510,BG009,18
1051,1,511,PZ004,100
1052,1,512,CK006,22
1053,1,512,SD009,18
1054,3,513,BG007,12
1055,3,513,SD010,14
1056,1,514,PZ007,70
1057,3,514,DR006,13
1058,1,514,CK009,50
1059,1,515,DR007,13
1060,1,515,DR003,10
1061,1,515,DR005,12
1062,1,516,SD011,12
1063,3,516,SD008,20
1064,3,516,PZ005,80
1065,1,517,CK009,50
1066,1,517,BG007,12
1067,1,517,DS004,24
1068,1,518,PZ008,90
1069,1,519,PZ002,90
1070,1,520,SD001,10
1071,2,520,PZ009,90
1072,1,521,SD011,12
1073,1,521,PZ004,100
1074,1,522,BG009,18
1075,2,522,PZ007,70
1076,2,523,CK003,40
1077,1,523,DS004,24
1078,1,524,BG003,24
1079,1,525,PZ001,90
1080,1,525,PZ009,90
1081,1,526,DS007,15
1082,1,527,DR011,10
1083,2,527,DS004,24
1084,1,528,PZ002,90
1085,1,528,DR001,10
1086,3,528,DS007,15
1087,1,529,CK009,50
1088,1,530,DR011,10
1089,1,530,PZ010,90
1090,1,531,BG001,30
1091,2,531,PZ010,90
1092,1,532,DR007,13
1093,1,532,PZ010,90
1094,1,533,DR009,15
1095,1,533,BG004,22
1096,1,533,DS008,10
1097,1,534,DS006,15
1098,1,534,DR002,10
1099,1,534,CK001,30
1100,1,535,BG009,18
1101,1,535,SD008,20
1102,1,535,BG001,30
1103,1,536,PZ006,60
1104,1,536,PZ005,80
1105,1,536,DR007,13
1106,1,537,DR007,13
1107,2,538,DS008,10
1108,2,539,SD008,20
1109,1,540,DS001,18
1110,3,540,DR007,13
1111,2,540,DS005,15
1112,1,541,DR010,15
1113,2,541,BG006,12
1114,2,541,BG006,12
1115,2,542,BG009,18
1116,3,542,PZ003,100
1117,2,543,SD003,10
1118,2,543,DR011,10
1119,1,543,DR010,15
1120,1,544,CK001,30
1121,1,544,PZ002,90
1122,1,544,SD010,14
1123,1,545,PZ003,100
1124,1,546,PZ010,90
1125,2,547,SD002,12
1126,2,547,BG007,12
1127,1,547,CK008,60
1128,1,548,CK002,30
1129,1,549,CK007,30
1130,1,549,BG002,20
1131,1,549,PZ008,90
1132,3,550,PZ008,90
1133,3,550,BG007,12
1134,1,550,DS008,10
1135,3,551,CK004,25
1136,3,551,SD011,12
